Specimen,f1,f2,f3a,f5,f6,f7,f8,f9,f10,f11a,f12,f13a,f19,f20,f21,f22a,f23,f24,f25a,f26,f27,f28a,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,Latitude,Longitude,Country,Ocean,Morphogroup
MZUSP0346-2,18.4365,1.3,0,10.436,2.7095,2.458,3,2.5325,8.611,0.993,1,0.933333333,,,1,2,1,3.666666667,1,18,9.5,0,0.578,0.147666667,3.03925,0.412,55,2.668,0.65,1.2195,0,0,39,37.5,1,55,44.5,0,-25.061734,-47.880093,Brazil-SE,Atlantic,Brazil-SE/S
MZUSP0346-1,23.2325,1.4,0,,3.731,2.412333333,3,1.5893,10.34266,1.036666667,1,1.3,,7,2,2,1,4,1,7,5,0.125,0.691666667,0.139,4.37668,0.412,57,3.925333333,0.855,1.215,0,0.125,45,30.5,1,51,32.5,0.125,-25.061734,-47.880093,Brazil-SE,Atlantic,Brazil-SE/S
MZUFBA1090,23.067,0.68,0,11.779,4.398,2.789333333,3,1.755,11.657,0.77775,1,1.255,16,8,3,2.03,1,5.75,1,24.5,17,3.666666667,0.84925,0.222125,4.951,0.4505,80,3.76825,0.590666667,0.8385,1.5,2.166666667,42.5,35.5,1.333333333,66.5,48,0.833333333,-13.097483,-38.71308,Brazil-NE,Atlantic,Brazil-NE
LAB16,26.355,,0,,5.492,,3,2.305,12.923,1.351666667,1,1.3275,,,3,2.85,1,5.333333333,1,24,21.5,0.8,,,5.309,,64,6.10925,0.61975,1.2815,0.4,0.4,35.5,30,1,58.5,46,0.125,-23.8271,-45.422,Brazil-SE,Atlantic,Brazil-SE/S
LAB12-2,10.093,0.99,0,,2.588333333,,,,,0.263,1,0.8,8,8,3,1.56,1,3.333333333,1,2,3,0.166666667,0.4015,0,,0.361,20,,,,0,0.166666667,18,16,1,20,17,0,-23.751125,-45.349494,Brazil-SE,Atlantic,Brazil-SE/S
LAB12-1,10.8895,0.78,0,,2.670666667,,,,,0.25,1,0.63,8,8,3,1.8,1,2.5,1,3,2,0.25,,0,,,15,,,,0.125,0.125,12,12,1,15,12,0,-23.751125,-45.349494,Brazil-SE,Atlantic,Brazil-SE/S
LAB09-5,2.639,,0,1.2545,0.42,0.2875,2,0.5305,0.9695,0.1175,1,,8,8,,,1,2.5,1,2,2,0,0.0215,0,0.2195,0.0545,11,0.3,0.2735,0.2005,0,0,10,11,1,11,12,0,48.7229,-3.9638,France-LAB,Atlantic,France-LAB
LAB09-4,5.09,0.65,0,3.263,0.8195,0.494,2,0.9745,2.157,0.2025,1,,8,8,2,0.4,1,3.5,1,8,5,0.125,0.042,0,0.59125,0.101,27,0.618,0.4575,0.368,0.125,0,21,16,1,27,19,0.125,48.7229,-3.9638,France-LAB,Atlantic,France-LAB
LAB09-3,6.017,0.9,0,3.866,0.9595,0.599,2,1.14,2.5775,0.293666667,1,0.291,8,8,2,0.45,1,3,1,5,5,0,0.080666667,0,0.71875,0.1225,19,0.7755,0.6025,0.388,0,0,16,16,1,19,17,0,48.7229,-3.9638,France-LAB,Atlantic,France-LAB
LAB09-2,5.7235,0.78,0,3.371,0.877,0.4975,2,0.973,2.1205,0.1555,1,0.37,8,8,3,0.54,1,3.25,1,7,6,0.25,0.071,0,0.57375,0.104,30,0.513,0.4565,0.3825,0.125,0.125,25,23,1,30,27,0,48.7229,-3.9638,France-LAB,Atlantic,France-LAB
LAB09-1,8.629,,0,6.029,1.725666667,1.083,2,1.7625,4.844,0.6705,1,0.706666667,,,,,1,3.5,1,16,9,0.666666667,0.1975,0,1.54075,0.196,46,1.519,1.0785,0.4755,0.333333333,0.333333333,30,23,1,46,27,0.125,48.7229,-3.9638,France-LAB,Atlantic,France-LAB
LAB08,20.6725,1.6,0,11.23733333,3.834,2.5955,3,1.8615,9.8395,1.56275,1,1.65,16,10,1,3.7,1.5,6,1,10.5,8,0.75,1.19375,0.630666667,3.989,0.6475,52,3.081,0.436,0.9575,0.5,0.25,41,38.5,1,50,41.5,0.33,-23.8213,-45.3958,Brazil-SE,Atlantic,Brazil-SE/S
LAB07,22.211,1.36,0,14.444,3.749333333,4.74925,3,2.0345,9.443,0.719,1,1.3825,16,8,3,2.78,1,4.5,1,17,10,1,1.187,0.332666667,3.70425,0.5725,70,3.20175,0.58025,0.91875,0.333333333,0.666666667,49,50,1,65,55,0.5,-23.8213,-45.3958,Brazil-SE,Atlantic,Brazil-SE/S
LAB06-3,26.447,,0,,4.9325,4.4725,3,3.008,11.9635,0.992333333,1,1.563333333,16,8,3,2.76,1,4.75,1,17,22,0.6,0.806666667,0.431,4.47775,0.425,55,3.65825,0.637,1.603,0.2,0.4,40,40,1,55,58,0.25,-25.016,-47.9234,Brazil-SE,Atlantic,Brazil-SE/S
LAB06-2,17.96,,0,,3.332,1.98,3,2.4705,7.6515,0.84275,1,0.9175,,,1,1.4,1,3,1,19,20,0.25,0.774,0.212,2.5905,0.408666667,57,1.8745,0.532,1.456,0.125,0.125,39,34,1,57,50,0,-25.016,-47.9234,Brazil-SE,Atlantic,Brazil-SE/S
LAB06-1,22.4205,,0,,3.649,2.8675,3,1.9175,9.0755,1.09,1,1.325,16,8,1,2.31,1,4.333333333,1,14,9,0.833333333,0.812666667,0.29425,3.579,0.386333333,55,3.45475,0.7265,0.85575,0.666666667,0.166666667,43,40,1,55,45,0.166666667,-25.016,-47.9234,Brazil-SE,Atlantic,Brazil-SE/S
LAB05-5,6.6305,0.3,0,3.3535,1.4315,0.987,3,0.757,3.1115,0.3465,2,0.346666667,8,8,2,0.68,1,2.75,1,4,4,2,0.12,0,1.17725,0.163333333,20,1.1275,0.2155,0.368,1,1,16,21,1.2,20,22,0.4,33.6319,135.3685,Japan,Pacific,Japan
LAB05-4,9.6075,1.01,3,7.689666667,1.841333333,1.6155,3,1.401,4.7235,0.436,1,0.746666667,7,7,3,1.26,1,3,1,4,3,0.25,0.258,0,1.66125,0.335333333,20,1.906,0.3195,0.84225,0.125,0.125,18,24,1,20,25,0.166666667,33.6319,135.3685,Japan,Pacific,Japan
